/Users/mitchparker/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-07-05 11:53:12,597 - INFO - Starting stability monitoring (interval: 30.0s)...
2026-07-05 11:53:12,597 - INFO - Starting 24-hour stability monitoring...
2026-07-05 11:53:12,597 - INFO - Monitoring for up to 24 hours (Ctrl+C to stop early)...
2026-07-05 11:57:42,793 - INFO - Check 10 complete. Total checks: 10
2026-07-05 12:02:42,938 - INFO - Check 20 complete. Total checks: 20
2026-07-05 12:07:43,129 - INFO - Check 30 complete. Total checks: 30
2026-07-05 12:12:43,348 - INFO - Check 40 complete. Total checks: 40
2026-07-05 12:17:43,556 - INFO - Check 50 complete. Total checks: 50
2026-07-05 12:22:43,851 - INFO - Check 60 complete. Total checks: 60
2026-07-05 12:27:44,047 - INFO - Check 70 complete. Total checks: 70
2026-07-05 12:32:44,251 - INFO - Check 80 complete. Total checks: 80
2026-07-05 12:37:44,462 - INFO - Check 90 complete. Total checks: 90
2026-07-05 12:42:44,707 - INFO - Check 100 complete. Total checks: 100
2026-07-05 12:47:44,914 - INFO - Check 110 complete. Total checks: 110
2026-07-05 12:52:45,127 - INFO - Check 120 complete. Total checks: 120
2026-07-05 12:57:45,342 - INFO - Check 130 complete. Total checks: 130
2026-07-05 13:02:45,555 - INFO - Check 140 complete. Total checks: 140
2026-07-05 13:07:45,762 - INFO - Check 150 complete. Total checks: 150
2026-07-05 13:12:45,972 - INFO - Check 160 complete. Total checks: 160
2026-07-05 13:17:46,186 - INFO - Check 170 complete. Total checks: 170
2026-07-05 13:22:46,353 - INFO - Check 180 complete. Total checks: 180
2026-07-05 13:27:46,540 - INFO - Check 190 complete. Total checks: 190
2026-07-05 13:32:46,741 - INFO - Check 200 complete. Total checks: 200
2026-07-05 13:37:46,932 - INFO - Check 210 complete. Total checks: 210
2026-07-05 13:42:47,144 - INFO - Check 220 complete. Total checks: 220
2026-07-05 13:47:47,304 - INFO - Check 230 complete. Total checks: 230
2026-07-05 13:52:47,509 - INFO - Check 240 complete. Total checks: 240
2026-07-05 13:57:47,724 - INFO - Check 250 complete. Total checks: 250
2026-07-05 14:02:47,940 - INFO - Check 260 complete. Total checks: 260
